epoch,time,test-score,train-score,loss,q_value,epsilon
0,979.3312283129999,-0.09495733126454615,-0.043407328652869684,0.0016600045680618255,51.415348156611124,0.1
1,1955.7906543549998,0.0,-0.044814801483027966,0.001517958063678059,51.384063576571144,0.1
2,2935.7188274830005,-0.11830889873849301,-0.07517776110336942,0.0014465626743291487,52.096124563980105,0.1
3,3905.6045393000004,0.0,-0.0225649970022347,0.0015145821593172317,49.48473997853597,0.1
4,4871.386136839001,0.0,-0.06436857928032609,0.001358229677498013,51.731493198013304,0.1
5,5834.935755060998,-0.024879489970455606,-0.04102347607422771,0.0016205542973281555,51.241285444641115,0.1
6,6798.6441307270015,0.0018922852983988354,-0.05469946666174544,0.0015308677317966762,52.147477344067894,0.1
7,7762.558520302,0.0,-0.054031159073330635,0.001306653698650664,51.65433857644399,0.1
8,8733.04964412,0.0063161219011526925,-0.060277646888252566,0.0011807584915509677,50.61511292705536,0.1
9,9698.358265457,0.0,-0.04417957449924933,0.0013504148541309661,48.29431753107707,0.1
10,10666.639684998,0.0,-0.028997650316023388,0.0013964354271208568,52.6686532749176,0.1
